Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing Price
BTC,2/23/2021,54181.91465,57453.35801,57535.86348,47780.74958,54.18191465
BTC,2/24/2021,48172.87748,54124.53909,54180.23218,45047.78286,48.17287748
BTC,2/25/2021,48745.43298,48923.03508,51413.61356,47032.52426,48.74543298
BTC,2/26/2021,48291.41208,49746.65163,52076.31772,47501.6748,48.29141208
BTC,2/27/2021,45752.11492,47135.55173,48453.73863,44279.44954,45.75211492
BTC,2/28/2021,46642.60608,46326.82407,48353.001,46207.70578,46.64260608
BTC,3/1/2021,45092.80657,46204.05856,46675.19785,43119.15702,45.09280657
BTC,3/2/2021,49248.91401,45234.36876,49520.72499,45044.38376,49.24891401
BTC,3/3/2021,47900.77688,49636.02146,50211.43717,47200.04217,47.90077688
BTC,3/4/2021,50811.85517,48526.99036,52636.22299,48195.1231,50.81185517
BTC,3/5/2021,48259.48708,50433.43615,51781.96783,47578.30723,48.25948708
BTC,3/6/2021,49149.73083,48404.21363,49462.13301,46393.39146,49.14973083
BTC,3/7/2021,48879.1519,48791.79051,49173.76187,47127.04097,48.8791519
BTC,3/8/2021,50594.69857,48887.56641,51222.8723,48887.56641,50.59469857
BTC,3/9/2021,51503.25813,50948.88071,51916.41395,49390.18272,51.50325813
BTC,3/10/2021,54458.03781,52360.74816,54804.07845,51865.59003,54.45803781
BTC,3/11/2021,56915.17394,54924.68653,57336.74541,53101.23637,56.91517394
BTC,3/12/2021,57636.75796,55898.86482,58034.70396,54323.6085,57.63675796
BTC,3/13/2021,57306.16626,57817.27021,58077.9516,55116.25835,57.30616626
BTC,3/14/2021,60743.04182,57227.23345,61556.59449,56124.14999,60.74304182
BTC,3/15/2021,60197.90199,60972.49128,61453.05834,59275.70383,60.19790199
BTC,3/16/2021,56300.33411,58962.48846,60570.69365,54790.32931,56.30033411
BTC,3/17/2021,56639.78395,55668.62353,56821.88244,53350.36773,56.63978395
BTC,3/18/2021,58567.28378,56908.56502,58923.54893,54201.70163,58.56728378
